question,answer,category
"Quán có ghế cho trẻ em, có món cho bé không? (hỏi giúp bạn mình)",Một số chi nhánh có ghế cao cho trẻ em; menu có các loại trà trái cây ít cafein phù hợp cho bé.,Trẻ em
"Làm ơn cho hỏi quán có ghế cho trẻ em, có món cho bé không?",Một số chi nhánh có ghế cao cho trẻ em; menu có các loại trà trái cây ít cafein phù hợp cho bé.,Trẻ em
Có được mang thú cưng vào quán không?,"Tùy chi nhánh, một số cửa hàng có khu vực ngoài trời cho phép mang thú cưng, vui lòng hỏi nhân viên tại chỗ.",Thú cưng
Cho em hỏi có được mang thú cưng vào quán không?,"Tùy chi nhánh, một số cửa hàng có khu vực ngoài trời cho phép mang thú cưng, vui lòng hỏi nhân viên tại chỗ.",Thú cưng
"Anh/chị ơi, có được mang thú cưng vào quán không?","Tùy chi nhánh, một số cửa hàng có khu vực ngoài trời cho phép mang thú cưng, vui lòng hỏi nhân viên tại chỗ.",Thú cưng
"Excuse me, Có được mang thú cưng vào quán không?","Tùy chi nhánh, một số cửa hàng có khu vực ngoài trời cho phép mang thú cưng, vui lòng hỏi nhân viên tại chỗ.",Thú cưng
Có được mang thú cưng vào quán không? Cảm ơn shop.,"Tùy chi nhánh, một số cửa hàng có khu vực ngoài trời cho phép mang thú cưng, vui lòng hỏi nhân viên tại chỗ.",Thú cưng
Mình muốn biết có được mang thú cưng vào quán không?,"Tùy chi nhánh, một số cửa hàng có khu vực ngoài trời cho phép mang thú cưng, vui lòng hỏi nhân viên tại chỗ.",Thú cưng
Xin hỏi có được mang thú cưng vào quán không?,"Tùy chi nhánh, một số cửa hàng có khu vực ngoài trời cho phép mang thú cưng, vui lòng hỏi nhân viên tại chỗ.",Thú cưng
Không biết có được mang thú cưng vào quán không? vậy ạ?,"Tùy chi nhánh, một số cửa hàng có khu vực ngoài trời cho phép mang thú cưng, vui lòng hỏi nhân viên tại chỗ.",Thú cưng
Có được mang thú cưng vào quán không? (hỏi giúp bạn mình),"Tùy chi nhánh, một số cửa hàng có khu vực ngoài trời cho phép mang thú cưng, vui lòng hỏi nhân viên tại chỗ.",Thú cưng
Làm ơn cho hỏi có được mang thú cưng vào quán không?,"Tùy chi nhánh, một số cửa hàng có khu vực ngoài trời cho phép mang thú cưng, vui lòng hỏi nhân viên tại chỗ.",Thú cưng
Có thể thuê không gian quán để tổ chức sự kiện nhỏ không?,"Một số chi nhánh lớn nhận đặt chỗ tổ chức họp nhóm, sự kiện nhỏ, cần liên hệ trước qua quản lý chi nhánh.",Sự kiện
Cho em hỏi có thể thuê không gian quán để tổ chức sự kiện nhỏ không?,"Một số chi nhánh lớn nhận đặt chỗ tổ chức họp nhóm, sự kiện nhỏ, cần liên hệ trước qua quản lý chi nhánh.",Sự kiện
"Anh/chị ơi, có thể thuê không gian quán để tổ chức sự kiện nhỏ không?","Một số chi nhánh lớn nhận đặt chỗ tổ chức họp nhóm, sự kiện nhỏ, cần liên hệ trước qua quản lý chi nhánh.",Sự kiện
"Excuse me, Có thể thuê không gian quán để tổ chức sự kiện nhỏ không?","Một số chi nhánh lớn nhận đặt chỗ tổ chức họp nhóm, sự kiện nhỏ, cần liên hệ trước qua quản lý chi nhánh.",Sự kiện
Có thể thuê không gian quán để tổ chức sự kiện nhỏ không? Cảm ơn shop.,"Một số chi nhánh lớn nhận đặt chỗ tổ chức họp nhóm, sự kiện nhỏ, cần liên hệ trước qua quản lý chi nhánh.",Sự kiện
Mình muốn biết có thể thuê không gian quán để tổ chức sự kiện nhỏ không?,"Một số chi nhánh lớn nhận đặt chỗ tổ chức họp nhóm, sự kiện nhỏ, cần liên hệ trước qua quản lý chi nhánh.",Sự kiện
Xin hỏi có thể thuê không gian quán để tổ chức sự kiện nhỏ không?,"Một số chi nhánh lớn nhận đặt chỗ tổ chức họp nhóm, sự kiện nhỏ, cần liên hệ trước qua quản lý chi nhánh.",Sự kiện
Không biết có thể thuê không gian quán để tổ chức sự kiện nhỏ không? vậy ạ?,"Một số chi nhánh lớn nhận đặt chỗ tổ chức họp nhóm, sự kiện nhỏ, cần liên hệ trước qua quản lý chi nhánh.",Sự kiện
Có thể thuê không gian quán để tổ chức sự kiện nhỏ không? (hỏi giúp bạn mình),"Một số chi nhánh lớn nhận đặt chỗ tổ chức họp nhóm, sự kiện nhỏ, cần liên hệ trước qua quản lý chi nhánh.",Sự kiện
Làm ơn cho hỏi có thể thuê không gian quán để tổ chức sự kiện nhỏ không?,"Một số chi nhánh lớn nhận đặt chỗ tổ chức họp nhóm, sự kiện nhỏ, cần liên hệ trước qua quản lý chi nhánh.",Sự kiện
